Post URL,User,Author Name,Likes,Views,Shares,Comments,Comments Data,Caption,HashTags,Music,Date Posted,Date Collected
https://www.tiktok.com/@jaadiee/7198199504405843205,jaadiee,Jaadiee,14600000,105300000,338200,114200,"['this world finna end', 'Gramps got it']",Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 ,#gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,HOTEL LOBBY (Unc & Phew),2/9/2023 16:50,11/18/2023 18:04
https://www.tiktok.com/@_valentinemoon_/7017520592807103749,_valentinemoon_,Rosie Somerville,12400000,94900000,82600,76500,"['imagine having to use the bathroom right when u get ready 😭', 'I love it and that is a LOT of layers']",Thank you sm for letting me know  my videos are being stolen! I have reported them so hopefully they get taken down ❤️ ,#disney #sewing #fashion #diy,"Try Everything (From ""Zootopia"")",10/10/2021 19:23,11/18/2023 18:04
https://www.tiktok.com/@quentaloup/7248033321270136070,quentaloup,Quentaloup,11000000,56900000,84300,53600,"['CONAN GRAY VIBES', 'CONAN GRAY WOULD WEAR THIS']",❤️ so proud of this project !  ,#craft #fashion #diy #beadedjewelry  ,Attention,6/23/2023 23:51,11/18/2023 18:04
https://www.tiktok.com/@gioz111/7130344602581650693,gioz111,GIO,10300000,70000000,13000,12800,"['in ""Cruella"" am i the only One who noticed That Christina Ricci looks the same in Wednesday?', 'Dubai luxury lady vibes']",Cruella hace un vestido con capullos de polillas ,#parati #cruella #polilla #dress #fashion #disney #diseñodemoda #emmastone,Love You So,8/10/2022 20:18,11/18/2023 18:04
https://www.tiktok.com/@jaadiee/6865297338781519110,jaadiee,Jaadiee,9800000,61300000,189300,61700,"['Dripppy drip', 'To be honest I just want likes']",Grateful Gramps 👴🏻💛 ,#gramps #opa #streetwear #fashion #drake #mode #makeover,Know Yourself,8/26/2020 14:20,11/18/2023 18:04
https://www.tiktok.com/@nickelodeon/6939314340780625158,nickelodeon,Nickelodeon,9700000,56700000,179400,98000,"['@chl003_ I', 'Oh she is still alive ??😮']",slime looks good on ya @charlidamelio 💚 ,#kca #slime #charlidamelio #surprise #fashion #slimed,original sound,3/14/2021 1:23,11/18/2023 18:04
https://www.tiktok.com/@jaadiee/7199683549602073862,jaadiee,Jaadiee,9300000,48300000,257800,78700,"['Wish she would stop playing so we could do this fr', 'this is the cutest thing ever😘']",Ready for their date 🥹💐  ,#grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style ,Love songX,2/13/2023 16:49,11/18/2023 18:04
https://www.tiktok.com/@hahahallberg/7204888387323530501,hahahallberg,Daniel Hallberg,8900000,124100000,60300,30900,"['LMAOO IM SO CONFUSED ???? WHAT IS HAPPENING', ""omg I'd fall for sure""]",@AVAVAV Fashion Show  ,#milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion ,Benny Hill Theme,2/27/2023 17:26,11/18/2023 18:04
https://www.tiktok.com/@deannagiulietti/6916914133887716613,deannagiulietti,Deanna Giulietti,8000000,44300000,12900,15300,"['that blue looks amazing on you!!', 'I think it looked better before she fixed it']",She is righting her wrongs. ,#ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,original sound,1/12/2021 16:39,11/18/2023 18:04
https://www.tiktok.com/@crescentshay/6930038872109812998,crescentshay,Shay,7800000,34300000,50900,68800,"['@mysticc_clouddx yuppie she making my future dresses this is nice', 'CAN I BUY IT FROM YOU??!!!']","🐸 making a frog dress 🐸 (this is part 1, the base dress. part 2 will have the coat!) ",#frogtok #fashion #diy #frog,Campus,2/17/2021 1:30,11/18/2023 18:04
https://www.tiktok.com/@luv_cheeds/7255823289430412586,luv_cheeds,Stitch Demon,6900000,36200000,146600,50700,"['baggiest atlanta fit', 'bros homefull']",,#stitch with @FITXFEARLESS i cant feel my bottom half hut at least i dont look homeless #fyp#viral#homeless#classy#fashion,original sound,7/14/2023 23:40,11/18/2023 18:04
